timestamp,equity,cash
2026-04-28T14:02:18Z,97714.38,97714.38
2026-04-28T14:04:18Z,97714.38,97714.38
2026-04-28T14:06:18Z,97714.38,97714.38
2026-04-28T14:08:18Z,97714.38,97714.38
2026-04-28T14:10:18Z,97714.38,97714.38
2026-04-28T14:12:18Z,97714.38,97714.38
2026-04-28T14:14:18Z,97714.38,97714.38
2026-04-28T14:16:18Z,97714.38,97714.38
2026-04-28T14:18:18Z,97714.38,97714.38
2026-04-28T14:20:18Z,97714.38,97714.38
2026-04-28T14:22:18Z,97714.38,97714.38
2026-04-28T14:24:18Z,97714.38,97714.38
2026-04-28T14:26:18Z,97714.38,97714.38
2026-04-28T14:28:18Z,97714.38,97714.38
2026-04-28T14:30:18Z,97714.38,97714.38
2026-04-28T14:32:19Z,97714.38,97714.38
2026-04-28T14:34:18Z,97714.38,97714.38
2026-04-28T14:34:56Z,97714.38,97714.38
2026-04-28T14:36:57Z,97714.38,97714.38
2026-04-28T14:38:57Z,97714.38,97714.38
2026-04-28T14:40:57Z,97714.38,97714.38
2026-04-28T14:42:57Z,97714.38,97714.38
2026-04-28T14:44:57Z,97714.38,97714.38
2026-04-28T14:46:57Z,97714.38,97714.38
2026-04-28T14:48:57Z,97714.38,97714.38
2026-04-28T14:50:57Z,97714.38,97714.38
2026-04-28T14:52:57Z,97714.38,97714.38
2026-04-28T14:54:57Z,97714.38,97714.38
2026-04-28T14:56:57Z,97714.38,97714.38
2026-04-28T14:58:57Z,97714.38,97714.38
2026-04-28T15:00:57Z,97714.38,97714.38
2026-04-28T15:02:57Z,97714.38,97714.38
2026-04-28T15:04:57Z,97714.38,97714.38
2026-04-28T15:06:57Z,97714.38,97714.38
2026-04-28T15:08:57Z,97714.38,97714.38
2026-04-28T15:10:57Z,97714.38,97714.38
2026-04-28T15:12:57Z,97714.38,97714.38
2026-04-28T15:14:57Z,97714.38,97714.38
2026-04-28T15:16:57Z,97714.38,97714.38
2026-04-28T15:18:57Z,97714.38,97714.38
2026-04-28T15:20:57Z,97714.38,97714.38
2026-04-28T15:22:57Z,97714.38,97714.38
2026-04-28T15:24:57Z,97714.38,97714.38
2026-04-28T15:26:57Z,97714.38,97714.38
2026-04-28T15:28:57Z,97714.38,97714.38
2026-04-28T15:30:57Z,97714.38,97714.38
2026-04-28T15:32:57Z,97714.38,97714.38
2026-04-28T15:34:57Z,97714.38,97714.38
2026-04-28T15:36:57Z,97714.38,97714.38
2026-04-28T15:38:57Z,97714.38,97714.38
2026-04-28T15:40:57Z,97714.38,97714.38
2026-04-28T15:42:57Z,97714.38,97714.38
2026-04-28T15:44:57Z,97714.38,97714.38
2026-04-28T15:46:57Z,97714.38,97714.38
2026-04-28T15:48:57Z,97714.38,97714.38
2026-04-28T15:50:57Z,97714.38,97714.38
2026-04-28T15:52:57Z,97714.38,97714.38
2026-04-28T15:54:57Z,97714.38,97714.38
2026-04-28T15:56:57Z,97714.38,97714.38
2026-04-28T15:58:57Z,97714.38,97714.38
2026-04-28T16:00:58Z,97714.38,97714.38
2026-04-28T16:02:58Z,97714.38,97714.38
2026-04-28T16:04:58Z,97714.38,97714.38
2026-04-28T16:06:58Z,97714.38,97714.38
2026-04-28T16:08:58Z,97714.38,97714.38
2026-04-28T16:10:58Z,97714.38,97714.38
2026-04-28T16:12:58Z,97714.38,97714.38
2026-04-28T16:14:58Z,97714.38,97714.38
2026-04-28T16:16:58Z,97714.38,97714.38
2026-04-28T16:18:58Z,97714.38,97714.38
2026-04-28T16:20:58Z,97714.38,97714.38
2026-04-28T16:22:58Z,97714.38,97714.38
2026-04-28T16:24:58Z,97714.38,97714.38
2026-04-28T16:26:58Z,97714.38,97714.38
2026-04-28T16:28:58Z,97714.38,97714.38
2026-04-28T16:30:58Z,97714.38,97714.38
2026-04-28T16:32:58Z,97714.38,97714.38
2026-04-28T16:34:58Z,97714.38,97714.38
2026-04-28T16:36:58Z,97714.38,97714.38
2026-04-28T16:38:58Z,97714.38,97714.38
2026-04-28T16:40:58Z,97714.38,97714.38
2026-04-28T16:42:58Z,97714.38,97714.38
2026-04-28T16:44:58Z,97714.38,97714.38
2026-04-28T16:46:58Z,97714.38,97714.38
2026-04-28T16:48:58Z,97714.38,97714.38
2026-04-28T16:50:58Z,97714.38,97714.38
2026-04-28T16:52:58Z,97714.38,97714.38
2026-04-28T16:54:58Z,97714.38,97714.38
2026-04-28T16:56:58Z,97714.38,97714.38
2026-04-28T16:58:58Z,97714.38,97714.38
2026-04-28T17:00:58Z,97714.38,97714.38
2026-04-28T17:02:58Z,97605.53,73257.78
2026-04-28T17:04:58Z,97605.38,73205.35
2026-04-28T17:06:58Z,97605.34,73193.07
2026-04-28T17:08:58Z,97605.34,73193.07
2026-04-28T17:10:58Z,97605.31,73179.2
2026-04-28T17:12:58Z,97605.31,73179.2
2026-04-28T17:14:58Z,97605.31,73179.2
2026-04-28T17:16:59Z,97565.74,73179.2
2026-04-28T17:18:58Z,97566.29,73179.2
2026-04-28T17:20:58Z,97556.12,73179.2
2026-04-28T17:22:58Z,97556.12,73179.2
2026-04-28T17:24:58Z,97556.12,73179.2
2026-04-28T17:26:58Z,97556.12,73179.2
2026-04-28T17:28:58Z,97622.93,73179.2
2026-04-28T17:30:59Z,97622.93,73179.2
2026-04-28T17:32:58Z,97622.93,73179.2
2026-04-28T17:34:58Z,97629.16,73179.2
2026-04-28T17:36:59Z,97696.8,73179.2
2026-04-28T17:38:59Z,97696.8,73179.2
2026-04-28T17:40:58Z,97668.62,73179.2
2026-04-28T17:42:58Z,97668.62,73179.2
2026-04-28T17:44:58Z,97705.29,73179.2
2026-04-28T17:46:59Z,97705.29,73179.2
2026-04-28T17:48:59Z,97660.81,73179.2
2026-04-28T17:50:59Z,97688.11,73179.2
2026-04-28T17:52:59Z,97688.11,73179.2
2026-04-28T17:54:58Z,97666.26,73179.2
2026-04-28T17:56:58Z,97661.99,73179.2
