timestamp,equity,cash
2026-04-26T17:55:18Z,100000.0,100000.0
2026-04-26T18:02:32Z,100000.0,100000.0
2026-04-26T18:04:09Z,100000.0,100000.0
2026-04-26T18:06:51Z,100000.0,100000.0
2026-04-26T18:12:14Z,100000.0,100000.0
2026-04-26T18:16:44Z,100000.0,100000.0
2026-04-26T18:24:15Z,100000.0,100000.0
2026-04-26T18:29:15Z,100000.0,100000.0
2026-04-26T18:34:15Z,99889.8,74973.93
2026-04-26T18:39:16Z,99889.65,74928.37
2026-04-26T18:44:16Z,99889.65,74928.37
2026-04-26T18:49:16Z,99933.88,74928.37
2026-04-26T18:54:16Z,99918.22,74928.37
2026-04-26T18:59:16Z,99947.84,74928.37
2026-04-26T19:04:16Z,99933.03,74928.37
2026-04-26T19:09:16Z,99933.03,74928.37
2026-04-26T19:14:16Z,99936.2,74928.37
2026-04-26T19:19:16Z,100054.14,74928.37
2026-04-26T19:24:16Z,100054.14,74928.37
2026-04-26T19:29:16Z,99985.93,74928.37
2026-04-26T19:34:16Z,99985.93,74928.37
2026-04-26T19:39:16Z,99954.23,74928.37
2026-04-26T19:44:16Z,99954.23,74928.37
2026-04-26T19:49:16Z,99977.52,74928.37
2026-04-26T19:54:16Z,99977.52,74928.37
2026-04-26T19:59:16Z,100000.74,74928.37
2026-04-26T20:04:16Z,100002.59,74928.37
2026-04-26T20:09:16Z,100002.59,74928.37
2026-04-26T20:14:16Z,100002.59,74928.37
2026-04-26T20:19:16Z,99962.85,74928.37
2026-04-26T20:24:16Z,99947.52,74928.37
2026-04-26T20:29:16Z,99947.52,74928.37
2026-04-26T20:34:16Z,100029.95,74928.37
2026-04-26T20:39:16Z,100002.54,74928.37
2026-04-26T20:44:16Z,99986.99,74928.37
2026-04-26T20:49:16Z,100003.39,74928.37
2026-04-26T20:54:16Z,99980.64,74928.37
2026-04-26T20:59:16Z,99980.64,74928.37
2026-04-26T21:04:16Z,99980.64,74928.37
2026-04-26T21:09:16Z,99980.64,74928.37
2026-04-26T21:14:16Z,99977.04,74928.37
2026-04-26T21:19:16Z,99977.04,74928.37
2026-04-26T21:24:17Z,99987.54,74928.37
2026-04-26T21:29:17Z,99984.87,74928.37
2026-04-26T21:34:17Z,99863.14,74928.37
2026-04-26T21:39:17Z,99868.91,74928.37
2026-04-26T21:44:17Z,99868.91,74928.37
2026-04-26T21:49:17Z,99817.38,74928.37
2026-04-26T21:54:17Z,99851.26,74928.37
2026-04-26T21:59:17Z,99851.26,74928.37
2026-04-26T22:04:17Z,100018.73,74928.37
2026-04-26T22:09:17Z,100018.73,74928.37
2026-04-26T22:14:17Z,100016.61,74928.37
2026-04-26T22:19:17Z,100107.18,74928.37
2026-04-26T22:24:17Z,100076.92,74928.37
2026-04-26T22:29:17Z,100076.92,74928.37
2026-04-26T22:34:17Z,99974.66,74928.37
2026-04-26T22:39:17Z,99876.49,74928.37
2026-04-26T22:44:17Z,99876.49,74928.37
2026-04-26T22:49:17Z,99923.62,74928.37
2026-04-26T22:54:17Z,99923.62,74928.37
2026-04-26T22:59:17Z,99923.62,74928.37
2026-04-26T23:04:17Z,99919.27,74928.37
2026-04-26T23:09:17Z,99905.52,74928.37
2026-04-26T23:14:17Z,99905.52,74928.37
2026-04-26T23:19:17Z,99906.58,74928.37
2026-04-26T23:24:17Z,99906.58,74928.37
2026-04-26T23:29:18Z,99906.58,74928.37
2026-04-26T23:34:17Z,99926.68,74928.37
2026-04-26T23:39:17Z,99926.68,74928.37
2026-04-26T23:44:18Z,99926.68,74928.37
2026-04-26T23:49:17Z,100039.05,74928.37
2026-04-26T23:54:17Z,100093.6,74928.37
2026-04-26T23:59:17Z,100093.6,74928.37
2026-04-27T00:04:17Z,100028.31,74928.37
2026-04-27T00:09:18Z,100045.18,74928.37
2026-04-27T00:14:18Z,99992.28,74928.37
2026-04-27T00:19:18Z,99993.34,74928.37
2026-04-27T00:24:18Z,99972.18,74928.37
2026-04-27T00:29:18Z,99968.02,74928.37
2026-04-27T00:34:18Z,99926.0,74928.37
2026-04-27T00:39:18Z,100012.38,74928.37
2026-04-27T00:44:18Z,100076.92,74928.37
2026-04-27T00:49:18Z,100076.92,74928.37
2026-04-27T00:54:18Z,100039.89,74928.37
2026-04-27T00:59:18Z,100172.05,74928.37
2026-04-27T01:04:18Z,100255.47,49876.7
2026-04-27T01:09:18Z,100111.92,49833.22
2026-04-27T01:14:18Z,100105.92,49803.18
2026-04-27T01:19:18Z,100058.24,49790.43
2026-04-28T11:08:07Z,98114.67,49762.59
2026-04-28T11:13:37Z,98059.37,49762.59
2026-04-28T11:18:38Z,98012.38,49762.59
2026-04-28T11:23:38Z,98072.44,49762.59
2026-04-28T11:28:38Z,98039.0,49762.59
2026-04-28T11:33:38Z,97979.89,49762.59
2026-04-28T11:38:38Z,97939.31,49762.59
2026-04-28T11:43:38Z,97981.03,49762.59
2026-04-28T11:48:38Z,97973.77,49762.59
2026-04-28T11:53:39Z,97895.29,49762.59
2026-04-28T11:58:38Z,97942.84,49762.59
2026-04-28T12:03:38Z,97912.94,49762.59
2026-04-28T12:08:38Z,97942.75,49762.59
2026-04-28T12:13:38Z,97996.52,49762.59
2026-04-28T12:18:38Z,97996.52,49762.59
2026-04-28T12:23:38Z,98033.09,49762.59
2026-04-28T12:28:38Z,98022.72,49762.59
2026-04-28T12:33:38Z,97904.09,49762.59
2026-04-28T12:38:39Z,97972.94,49762.59
2026-04-28T12:43:38Z,98041.01,49762.59
2026-04-28T12:48:38Z,97992.02,49762.59
